jarak,waktu_milli,waktu_second,zona
53,3118,3,SIAGA
52,3111,3,SIAGA
53,3121,3,SIAGA
53,3158,3,SIAGA
53,3158,3,SIAGA
54,3180,3,SIAGA
54,3219,3,SIAGA
54,3235,3,SIAGA
54,3202,3,SIAGA
57,3410,3,SIAGA
55,3239,3,SIAGA
54,3184,3,SIAGA
54,3226,3,SIAGA
53,3176,3,SIAGA
54,3198,3,SIAGA
54,3193,3,SIAGA
54,3211,3,SIAGA
54,3200,3,SIAGA
54,3193,3,SIAGA
53,3145,3,SIAGA
53,3165,3,SIAGA
52,3112,3,SIAGA
52,3079,3,SIAGA
50,2959,2,SIAGA
48,2852,2,SIAGA
48,2837,2,SIAGA
47,2769,2,SIAGA
46,2718,2,SIAGA
45,2701,2,SIAGA
45,2683,2,SIAGA
45,2689,2,SIAGA
44,2638,2,SIAGA
42,2512,2,SIAGA
42,2479,2,SIAGA
40,2376,2,SIAGA
39,2345,2,SIAGA
38,2267,2,SIAGA
38,2274,2,SIAGA
38,2249,2,SIAGA
37,2194,2,SIAGA
37,2181,2,SIAGA
36,2148,2,SIAGA
35,2092,2,SIAGA
34,2039,2,SIAGA
33,1991,1,SIAGA
34,2008,2,SIAGA
33,1963,1,SIAGA
32,1938,1,SIAGA
32,1932,1,SIAGA
31,1847,1,SIAGA
31,1833,1,SIAGA
29,1750,1,SIAGA
29,1726,1,SIAGA
29,1720,1,SIAGA
28,1691,1,SIAGA
28,1691,1,SIAGA
27,1630,1,SIAGA
28,1669,1,SIAGA
28,1663,1,SIAGA
27,1647,1,SIAGA
27,1602,1,SIAGA
27,1595,1,SIAGA
26,1571,1,SIAGA
27,1593,1,SIAGA
27,1617,1,SIAGA
27,1591,1,SIAGA
27,1608,1,SIAGA
27,1608,1,SIAGA
26,1547,1,SIAGA
27,1593,1,SIAGA
26,1543,1,SIAGA
26,1575,1,SIAGA
27,1607,1,SIAGA
27,1604,1,SIAGA
27,1605,1,SIAGA
27,1629,1,SIAGA
28,1675,1,SIAGA
30,1778,1,SIAGA
32,1911,1,SIAGA
32,1896,1,SIAGA
33,1973,1,SIAGA
35,2088,2,SIAGA
35,2083,2,SIAGA
35,2086,2,SIAGA
37,2203,2,SIAGA
38,2245,2,SIAGA
39,2343,2,SIAGA
39,2295,2,SIAGA
40,2391,2,SIAGA
41,2431,2,SIAGA
43,2538,2,SIAGA
44,2612,2,SIAGA
43,2585,2,SIAGA
45,2656,2,SIAGA
46,2746,2,SIAGA
47,2778,2,SIAGA
46,2733,2,SIAGA
46,2754,2,SIAGA
48,2833,2,SIAGA
49,2918,2,SIAGA
49,2883,2,SIAGA
49,2918,2,SIAGA
50,2986,2,SIAGA
51,3008,3,SIAGA
51,3048,3,SIAGA
52,3087,3,SIAGA
53,3122,3,SIAGA
53,3166,3,SIAGA
54,3189,3,SIAGA
54,3179,3,SIAGA
54,3212,3,SIAGA
54,3217,3,SIAGA
54,3198,3,SIAGA
54,3180,3,SIAGA
54,3215,3,SIAGA
54,3202,3,SIAGA
54,3180,3,SIAGA
54,3202,3,SIAGA
54,3224,3,SIAGA
54,3202,3,SIAGA
54,3224,3,SIAGA
53,3171,3,SIAGA
54,3179,3,SIAGA
53,3152,3,SIAGA
53,3121,3,SIAGA
51,3053,3,SIAGA
51,3031,3,SIAGA
50,2955,2,SIAGA
50,2950,2,SIAGA
48,2854,2,SIAGA
49,2900,2,SIAGA
49,2891,2,SIAGA
48,2841,2,SIAGA
48,2867,2,SIAGA
49,2887,2,SIAGA
46,2727,2,SIAGA
45,2694,2,SIAGA
44,2646,2,SIAGA
45,2688,2,SIAGA
44,2624,2,SIAGA
44,2592,2,SIAGA
43,2588,2,SIAGA
43,2547,2,SIAGA
42,2518,2,SIAGA
42,2488,2,SIAGA
42,2498,2,SIAGA
40,2385,2,SIAGA
39,2334,2,SIAGA
38,2288,2,SIAGA
39,2337,2,SIAGA
38,2284,2,SIAGA
37,2229,2,SIAGA
37,2186,2,SIAGA
36,2135,2,SIAGA
35,2100,2,SIAGA
35,2106,2,SIAGA
25,1475,1,AWAS
25,1477,1,AWAS
24,1448,1,AWAS
24,1448,1,AWAS
25,1473,1,AWAS
25,1494,1,AWAS
25,1494,1,AWAS
24,1464,1,AWAS
24,1457,1,AWAS
24,1440,1,AWAS
24,1413,1,AWAS
25,1475,1,AWAS
22,1335,1,AWAS
21,1294,1,AWAS
21,1245,1,AWAS
21,1236,1,AWAS
20,1214,1,AWAS
19,1137,1,AWAS
18,1106,1,AWAS
18,1084,1,AWAS
17,1014,1,AWAS
16,971,0,AWAS
16,955,0,AWAS
16,960,0,AWAS
14,857,0,AWAS
15,888,0,AWAS
13,778,0,AWAS
13,765,0,AWAS
12,706,0,AWAS
11,649,0,AWAS
10,604,0,AWAS
9,577,0,AWAS
9,577,0,AWAS
9,564,0,AWAS
9,540,0,AWAS
8,514,0,AWAS
7,459,0,AWAS
7,437,0,AWAS
7,415,0,AWAS
7,419,0,AWAS
6,371,0,AWAS
6,373,0,AWAS
5,352,0,AWAS
5,332,0,AWAS
5,323,0,AWAS
4,286,0,AWAS
5,295,0,AWAS
4,283,0,AWAS
4,264,0,AWAS
4,255,0,AWAS
4,240,0,AWAS
3,206,0,AWAS
3,188,0,AWAS
2,169,0,AWAS
